event_time,user_id,category,amount
2025-09-24 08:55:34,user_037,books,9.89
2025-09-24 17:40:44,user_012,sports,186.29
2025-09-24 17:50:22,user_028,books,61.61
2025-09-24 15:13:22,user_035,sports,359.64
2025-09-24 04:05:46,user_030,sports,249.43
2025-09-24 19:28:54,user_019,grocery,152.95
2025-09-24 07:24:35,user_037,sports,257.37
2025-09-24 07:06:28,user_037,books,150.76
2025-09-24 10:29:15,user_014,books,267.82
2025-09-24 10:28:59,user_019,fashion,112.1
2025-09-24 12:44:37,user_050,electronics,344.26
2025-09-24 20:24:53,user_016,sports,302.81
2025-09-24 16:47:02,user_026,grocery,461.62
2025-09-24 15:23:45,user_036,books,184.69
2025-09-24 21:09:52,user_028,books,40.53
2025-09-24 09:08:39,user_038,books,40.84
2025-09-24 14:31:25,user_003,books,253.16
2025-09-24 21:42:44,user_013,electronics,106.67
2025-09-24 18:40:23,user_008,fashion,105.98
2025-09-24 02:39:02,user_003,sports,262.25
2025-09-24 04:45:08,user_046,books,491.62
2025-09-24 09:12:58,user_013,grocery,66.97
2025-09-24 08:21:28,user_038,electronics,48.9
2025-09-24 15:53:32,user_041,grocery,204.68
2025-09-24 07:02:06,user_025,sports,211.98
2025-09-24 22:18:22,user_012,fashion,236.38
2025-09-24 19:48:44,user_009,fashion,258.56
2025-09-24 22:48:57,user_043,books,79.07
2025-09-24 23:16:58,user_035,electronics,474.99
2025-09-24 18:36:54,user_001,sports,106.6
2025-09-24 00:48:25,user_046,electronics,474.07
2025-09-24 09:03:02,user_048,sports,33.28
2025-09-24 05:50:34,user_006,grocery,77.55
2025-09-24 19:34:16,user_046,sports,133.19
2025-09-24 11:56:10,user_001,books,187.21
2025-09-24 07:43:15,user_009,fashion,414.28
2025-09-24 23:55:54,user_008,sports,426.21
2025-09-24 22:23:58,user_016,fashion,477.91
2025-09-24 13:42:33,user_023,grocery,329.03
2025-09-24 22:42:48,user_035,grocery,405.22
2025-09-24 01:16:48,user_047,books,269.12
2025-09-24 00:50:35,user_003,books,289.83
2025-09-24 16:30:20,user_018,books,345.29
2025-09-24 19:16:44,user_024,books,218.46
2025-09-24 17:25:13,user_028,books,447.36
2025-09-24 05:57:40,user_020,electronics,89.06
2025-09-24 15:05:26,user_048,books,165.97
2025-09-24 20:03:34,user_007,fashion,282.28
2025-09-24 11:46:59,user_005,fashion,18.23
2025-09-24 16:28:35,user_020,books,99.84
2025-09-24 23:09:44,user_008,electronics,309.51
2025-09-24 18:52:26,user_037,sports,219.48
2025-09-24 01:00:32,user_047,books,190.66
2025-09-24 05:26:56,user_009,grocery,62.95
2025-09-24 10:40:56,user_006,fashion,24.01
2025-09-24 19:30:02,user_004,electronics,335.02
2025-09-24 23:26:15,user_027,books,423.07
2025-09-24 00:02:12,user_048,electronics,484.96
2025-09-24 04:55:19,user_005,electronics,75.11
2025-09-24 11:52:17,user_023,fashion,389.78
2025-09-24 21:59:38,user_038,books,392.42
2025-09-24 14:22:58,user_044,sports,244.04
2025-09-24 03:47:49,user_042,fashion,58.22
2025-09-24 09:29:26,user_045,electronics,274.71
2025-09-24 17:21:07,user_033,sports,127.06
2025-09-24 14:21:52,user_008,books,253.81
2025-09-24 04:32:23,user_016,sports,365.92
2025-09-24 20:57:58,user_048,books,416.33
2025-09-24 14:43:46,user_031,sports,33.56
2025-09-24 07:50:06,user_019,electronics,391.25
2025-09-24 19:39:33,user_033,fashion,16.18
2025-09-24 01:21:15,user_049,sports,161.15
2025-09-24 10:41:36,user_033,sports,69.05
2025-09-24 14:51:08,user_042,electronics,394.29
2025-09-24 07:30:33,user_038,grocery,18.16
2025-09-24 05:58:02,user_033,grocery,450.95
2025-09-24 18:53:25,user_022,grocery,29.95
2025-09-24 08:30:46,user_039,grocery,258.34
2025-09-24 16:27:53,user_004,fashion,117.15
2025-09-24 14:39:44,user_046,fashion,495.48
2025-09-24 18:09:34,user_028,fashion,404.57
2025-09-24 14:05:16,user_049,electronics,494.9
2025-09-24 15:14:30,user_041,sports,436.45
2025-09-24 03:43:49,user_011,grocery,429.95
2025-09-24 00:11:02,user_048,fashion,301.25
2025-09-24 03:26:52,user_027,books,111.89
2025-09-24 06:26:47,user_020,grocery,123.83
2025-09-24 20:14:35,user_002,books,405.38
2025-09-24 10:30:27,user_045,sports,209.58
2025-09-24 22:43:25,user_003,books,353.86
2025-09-24 19:39:58,user_014,electronics,329.85
2025-09-24 03:29:57,user_005,electronics,392.78
2025-09-24 12:45:23,user_029,sports,286.18
2025-09-24 21:19:22,user_024,books,52.49
2025-09-24 13:42:19,user_005,sports,421.98
2025-09-24 04:56:10,user_028,books,264.93
2025-09-24 12:38:01,user_035,electronics,27.55
