event_time,user_id,category,amount
2025-09-25 10:35:15,user_027,electronics,440.13
2025-09-25 19:47:15,user_044,books,304.1
2025-09-25 20:42:47,user_021,electronics,419.64
2025-09-25 00:14:40,user_045,books,466.57
2025-09-25 17:52:04,user_012,books,189.73
2025-09-25 01:22:40,user_018,fashion,284.56
2025-09-25 10:17:37,user_025,electronics,254.68
2025-09-25 08:34:07,user_023,fashion,444.18
2025-09-25 23:26:35,user_042,sports,89.12
2025-09-25 17:21:35,user_047,sports,25.3
2025-09-25 17:01:34,user_017,books,467.5
2025-09-25 14:18:32,user_010,electronics,98.29
2025-09-25 09:30:31,user_045,fashion,175.57
2025-09-25 17:57:16,user_024,fashion,268.49
2025-09-25 16:10:39,user_038,sports,437.02
2025-09-25 01:53:12,user_031,grocery,491.69
2025-09-25 14:08:47,user_045,books,307.29
2025-09-25 17:36:14,user_020,electronics,111.08
2025-09-25 14:10:24,user_045,books,30.98
2025-09-25 13:32:29,user_025,electronics,437.33
2025-09-25 18:02:08,user_017,fashion,41.36
2025-09-25 18:29:49,user_025,books,188.49
2025-09-25 10:41:51,user_041,sports,114.71
2025-09-25 08:29:41,user_049,electronics,490.99
2025-09-25 01:55:31,user_006,electronics,183.18
2025-09-25 14:16:42,user_001,sports,241.28
2025-09-25 22:04:37,user_044,grocery,262.23
2025-09-25 17:03:04,user_037,books,336.98
2025-09-25 07:50:28,user_032,sports,455.84
2025-09-25 12:33:28,user_049,electronics,468.5
2025-09-25 06:35:12,user_022,sports,123.39
2025-09-25 19:17:50,user_019,sports,247.05
2025-09-25 19:02:33,user_043,fashion,241.47
2025-09-25 16:16:35,user_006,sports,320.8
2025-09-25 10:56:53,user_013,fashion,146.85
2025-09-25 07:54:29,user_021,electronics,33.37
2025-09-25 07:23:46,user_007,electronics,61.0
2025-09-25 07:56:04,user_009,sports,186.63
2025-09-25 15:00:32,user_036,books,217.75
2025-09-25 05:36:45,user_011,books,147.27
2025-09-25 23:32:46,user_036,fashion,288.75
2025-09-25 10:08:11,user_037,books,488.98
2025-09-25 01:28:23,user_016,fashion,219.65
2025-09-25 07:45:27,user_037,sports,137.2
2025-09-25 21:03:11,user_050,electronics,44.17
2025-09-25 05:52:38,user_038,books,102.45
2025-09-25 20:08:29,user_038,sports,102.17
2025-09-25 17:17:41,user_018,electronics,13.81
2025-09-25 09:58:54,user_030,electronics,150.47
2025-09-25 15:31:53,user_046,fashion,235.66
2025-09-25 04:51:12,user_041,sports,21.98
2025-09-25 00:18:39,user_040,fashion,31.7
2025-09-25 11:39:41,user_001,grocery,461.7
2025-09-25 11:50:26,user_014,grocery,34.39
2025-09-25 02:26:06,user_001,sports,438.73
2025-09-25 16:18:20,user_037,grocery,478.76
2025-09-25 09:39:00,user_008,grocery,269.71
2025-09-25 07:49:54,user_023,grocery,93.28
2025-09-25 08:27:22,user_021,grocery,173.61
2025-09-25 02:13:29,user_035,grocery,101.41
2025-09-25 16:27:13,user_034,sports,116.72
2025-09-25 06:14:41,user_010,grocery,78.85
2025-09-25 23:18:50,user_019,books,207.74
2025-09-25 14:49:02,user_029,books,126.38
2025-09-25 06:44:25,user_042,grocery,108.04
2025-09-25 04:09:58,user_007,grocery,317.23
2025-09-25 08:20:52,user_011,books,349.76
2025-09-25 12:16:45,user_005,grocery,244.76
2025-09-25 04:05:05,user_014,fashion,124.02
2025-09-25 17:20:53,user_024,fashion,312.45
2025-09-25 02:13:43,user_039,electronics,377.17
2025-09-25 07:49:35,user_032,books,174.16
2025-09-25 08:22:57,user_050,sports,112.73
2025-09-25 11:57:54,user_004,fashion,4.34
2025-09-25 13:21:49,user_046,electronics,407.67
2025-09-25 19:41:47,user_019,electronics,207.49
2025-09-25 03:27:26,user_012,sports,50.09
2025-09-25 00:04:02,user_007,sports,32.73
2025-09-25 20:42:22,user_015,sports,114.73
2025-09-25 13:56:10,user_015,grocery,440.59
2025-09-25 22:09:57,user_025,sports,121.74
2025-09-25 12:18:33,user_040,sports,81.1
2025-09-25 01:12:10,user_017,sports,388.67
2025-09-25 17:41:07,user_005,electronics,118.91
2025-09-25 06:59:50,user_013,grocery,213.74
2025-09-25 08:13:26,user_034,grocery,215.29
2025-09-25 07:01:51,user_016,electronics,408.08
2025-09-25 00:49:59,user_021,electronics,414.82
2025-09-25 21:13:55,user_015,sports,38.01
2025-09-25 23:14:16,user_046,electronics,405.87
2025-09-25 12:27:45,user_015,books,303.87
2025-09-25 01:46:57,user_010,books,466.82
2025-09-25 06:23:05,user_015,fashion,460.98
2025-09-25 11:01:54,user_030,electronics,398.71
2025-09-25 02:00:21,user_046,sports,247.31
2025-09-25 22:00:10,user_024,electronics,428.72
2025-09-25 13:16:43,user_018,fashion,442.91
2025-09-25 04:28:09,user_018,books,197.03
2025-09-25 17:56:57,user_043,books,228.22
2025-09-25 12:28:07,user_046,books,237.63
2025-09-25 19:11:44,user_003,books,489.72
2025-09-25 07:09:59,user_016,grocery,92.55
2025-09-25 07:11:56,user_045,books,431.48
2025-09-25 07:26:18,user_011,grocery,184.64
2025-09-25 07:27:21,user_008,electronics,349.86
2025-09-25 08:12:33,user_007,electronics,44.8
2025-09-25 22:13:57,user_036,fashion,83.96
2025-09-25 08:30:07,user_041,electronics,53.13
2025-09-25 05:55:22,user_048,books,313.34
2025-09-25 05:26:30,user_042,grocery,463.12
2025-09-25 17:01:34,user_037,electronics,135.69
2025-09-25 02:48:19,user_042,books,141.9
2025-09-25 14:17:55,user_049,books,194.17
2025-09-25 21:40:30,user_031,books,170.55
2025-09-25 02:12:18,user_012,electronics,77.85
2025-09-25 02:37:17,user_011,grocery,480.97
2025-09-25 22:35:27,user_005,grocery,298.99
2025-09-25 21:37:31,user_027,sports,390.84
2025-09-25 02:46:27,user_031,fashion,228.87
2025-09-25 10:19:39,user_016,grocery,121.89
2025-09-25 10:33:51,user_035,books,129.82
2025-09-25 02:45:59,user_018,electronics,348.33
2025-09-25 23:06:38,user_029,electronics,110.52
2025-09-25 16:33:16,user_032,sports,85.91
2025-09-25 15:16:29,user_014,fashion,405.63
2025-09-25 04:04:36,user_014,grocery,99.87
2025-09-25 22:44:39,user_046,sports,41.47
2025-09-25 13:36:48,user_032,grocery,45.29
2025-09-25 17:33:00,user_042,electronics,184.62
2025-09-25 21:45:19,user_004,grocery,446.06
2025-09-25 08:48:45,user_014,grocery,278.35
2025-09-25 04:27:27,user_027,electronics,455.81
2025-09-25 06:09:00,user_003,sports,321.47
2025-09-25 08:33:07,user_009,grocery,216.56
2025-09-25 00:58:03,user_031,books,12.61
2025-09-25 20:28:12,user_027,books,146.39
2025-09-25 19:35:04,user_042,electronics,477.95
2025-09-25 06:07:37,user_025,fashion,172.99
2025-09-25 01:23:28,user_045,electronics,341.03
2025-09-25 03:34:31,user_031,fashion,104.73
2025-09-25 02:07:30,user_013,grocery,77.14
2025-09-25 07:25:27,user_038,sports,14.72
2025-09-25 07:53:57,user_039,fashion,38.81
2025-09-25 18:32:50,user_007,electronics,26.7
2025-09-25 01:04:04,user_046,grocery,312.0
2025-09-25 04:13:57,user_009,books,304.04
2025-09-25 03:16:42,user_041,fashion,40.21
2025-09-25 15:25:10,user_001,fashion,154.52
2025-09-25 00:27:49,user_027,electronics,28.35
2025-09-25 20:45:56,user_033,electronics,45.03
2025-09-25 03:19:35,user_024,books,127.82
2025-09-25 01:19:16,user_007,books,488.25
2025-09-25 00:36:42,user_019,electronics,250.46
2025-09-25 23:38:53,user_045,sports,128.86
2025-09-25 06:44:57,user_032,books,259.8
2025-09-25 11:35:18,user_019,sports,184.3
2025-09-25 14:13:22,user_039,fashion,19.31
2025-09-25 08:41:06,user_002,grocery,133.37
2025-09-25 03:01:58,user_019,electronics,367.67
2025-09-25 05:02:13,user_023,fashion,23.05
2025-09-25 05:30:32,user_019,grocery,272.23
2025-09-25 19:18:36,user_034,grocery,38.2
2025-09-25 22:56:17,user_042,sports,204.42
2025-09-25 20:58:39,user_017,sports,177.1
2025-09-25 22:14:16,user_004,electronics,53.67
2025-09-25 08:47:46,user_049,electronics,309.31
2025-09-25 15:42:12,user_029,fashion,439.48
2025-09-25 21:58:32,user_007,electronics,453.44
2025-09-25 12:00:28,user_017,books,229.15
2025-09-25 12:46:47,user_033,sports,81.73
2025-09-25 09:27:28,user_014,books,447.92
2025-09-25 13:12:00,user_031,electronics,27.92
2025-09-25 22:47:54,user_013,sports,143.39
2025-09-25 20:02:55,user_024,grocery,138.08
2025-09-25 08:47:04,user_026,sports,190.66
2025-09-25 21:26:54,user_036,books,87.93
2025-09-25 03:49:41,user_007,fashion,148.07
2025-09-25 17:34:37,user_033,books,169.89
2025-09-25 01:22:50,user_034,sports,61.35
2025-09-25 20:25:42,user_018,books,98.57
2025-09-25 01:58:21,user_006,books,253.55
2025-09-25 09:19:19,user_028,books,254.83
2025-09-25 03:53:20,user_004,grocery,299.18
2025-09-25 16:38:29,user_021,grocery,14.21
2025-09-25 22:42:34,user_010,electronics,243.3
2025-09-25 11:43:23,user_012,fashion,255.3
2025-09-25 18:38:52,user_033,electronics,406.3
2025-09-25 22:54:53,user_038,fashion,336.48
2025-09-25 20:20:19,user_042,grocery,438.39
2025-09-25 22:44:47,user_008,sports,179.3
2025-09-25 10:56:11,user_014,electronics,258.68
2025-09-25 19:37:58,user_011,grocery,207.05
2025-09-25 19:50:43,user_050,grocery,120.0
2025-09-25 15:03:51,user_011,electronics,38.78
2025-09-25 10:50:33,user_045,fashion,292.45
2025-09-25 02:45:03,user_036,sports,73.84
2025-09-25 02:25:51,user_044,fashion,468.21
2025-09-25 20:07:07,user_021,sports,399.8
2025-09-25 23:23:28,user_007,electronics,186.48
2025-09-25 01:32:07,user_009,books,450.52
